size,method,run,time_seconds,gflops
10,numba,0,0.018132234178483485,0.00011030080354760081
10,numba,1,0.01818730542436242,0.00010996681219863071
10,numba,2,0.017618452943861485,0.00011351734493219667
10,numba,3,0.009610017761588097,0.00020811616061669916
10,numba,4,3.928560763597488e-05,0.050909229113425915
10,numba,5,3.8003455847501756e-05,0.052626792890243815
10,numba,6,3.6808941513299945e-05,0.05433462408250323
10,numba,7,4.221322014927864e-05,0.047378522484837655
10,numba,8,3.8125552237033844e-05,0.0524582565405379
10,numba,9,3.735404461622238e-05,0.05354172541549693
50,numba,0,6.540063768625259e-05,3.8225926970212214
50,numba,1,5.768425762653351e-05,4.333938067099357
50,numba,2,5.807895213365555e-05,4.304485374059119
50,numba,3,5.991635844111442e-05,4.17248321667778
50,numba,4,5.747973918914795e-05,4.349358635350236
50,numba,5,5.770819261670112e-05,4.332140527437838
50,numba,6,5.652196705341339e-05,4.423059087164278
50,numba,7,5.620336160063744e-05,4.448132511653264
50,numba,8,5.8984849601984024e-05,4.238376493064601
50,numba,9,5.6694168597459794e-05,4.409624590759082
100,numba,0,0.0001337207853794098,14.956537940794643
100,numba,1,0.0001333659514784813,14.996331356153537
100,numba,2,0.00012066420167684555,16.574924229443464
100,numba,3,0.00012153005227446556,16.45683485335105
100,numba,4,0.00011923154816031455,16.774083964009844
100,numba,5,0.00011697113513946533,17.098235369053988
100,numba,6,0.00011825375258922577,16.91278252240616
100,numba,7,0.00011953823268413543,16.731048762321468
100,numba,8,0.00011875452473759651,16.841463551972094
100,numba,9,0.00012141158804297447,16.472892186305035
250,numba,0,0.0014802354387938976,21.1115064408015
250,numba,1,0.0012417122721672057,25.166860874668036
250,numba,2,0.001272473856806755,24.558461325422577
250,numba,3,0.0012461846694350243,25.0765402323298
250,numba,4,0.0012889468111097814,24.24460011122864
250,numba,5,0.0012485427781939507,25.029178451701856
250,numba,6,0.001283111609518528,24.35485718325484
250,numba,7,0.0012569648213684558,24.86147541184022
250,numba,8,0.0012694542296230794,24.616878080967606
250,numba,9,0.001240587793290615,25.18967232227111
500,numba,0,0.01018680315464735,24.541555992072624
500,numba,1,0.00997355356812477,25.066291396778954
500,numba,2,0.010100254975259303,24.751850385200967
500,numba,3,0.010680302418768406,23.407576882905214
500,numba,4,0.010504601057618856,23.799095142092817
500,numba,5,0.010227188933640718,24.444644723210754
500,numba,6,0.010087176598608494,24.783942023428736
500,numba,7,0.010016914736479521,24.957784565096873
500,numba,8,0.0096913181245327,25.79628454948223
500,numba,9,0.00935439858585596,26.72539529991859
1000,numba,0,0.0896368145942688,22.312260972824397
1000,numba,1,0.09616101458668709,20.79844944020472
1000,numba,2,0.09271023673936725,21.572590798387495
1000,numba,3,0.07722187936305999,25.899395566338985
1000,numba,4,0.06420299643650651,31.15119404088714
1000,numba,5,0.050427170004695654,39.661158851741334
1000,numba,6,0.060425776336342094,33.098457665940366
1000,numba,7,0.05668994206935167,35.279626808460996
1000,numba,8,0.05042826002463698,39.66030156548907
1000,numba,9,0.04613290056586265,43.35300784186886
2500,numba,0,0.6519044454209506,47.93647323546185
2500,numba,1,0.6654233699664474,46.962582636037745
2500,numba,2,0.6453992448747158,48.41964140516808
2500,numba,3,0.6680410821922124,46.7785602308341
2500,numba,4,0.647664638608694,48.25027975455152
2500,numba,5,0.6463070856407285,48.351628342461595
2500,numba,6,0.6493323155678808,48.126358800839846
2500,numba,7,0.6492250987328589,48.13430666958649
2500,numba,8,0.6490432601422071,48.14779217205497
2500,numba,9,0.6580352329649031,47.489858345725914
5000,numba,0,9.315998213179409,26.83555688603753
5000,numba,1,9.33824514662847,26.77162529731417
5000,numba,2,9.189223986398428,27.20577933131692
5000,numba,3,9.214118382427841,27.132275669126702
5000,numba,4,9.444623327162116,26.47008687800353
5000,numba,5,9.20720731196925,27.15264156971932
5000,numba,6,9.279403009824454,26.941388334499056
5000,numba,7,9.189388426858931,27.205292494688216
5000,numba,8,9.288331075292081,26.915491919213107
5000,numba,9,9.233626569528132,27.074952416315426
7500,numba,0,40.18005762519315,20.999223243297774
7500,numba,1,40.61746598193422,20.77308319468482
7500,numba,2,40.21020850278437,20.983477365992126
7500,numba,3,40.063276442792265,21.060434265899836
7500,numba,4,40.16129713896662,21.00903257881452
7500,numba,5,40.600716959219426,20.7816527192731
7500,numba,6,39.85335985599086,21.171364297737252
7500,numba,7,39.5352002508007,21.34174089539136
7500,numba,8,40.18944893497974,20.99431622874591
7500,numba,9,41.08088983399794,20.53874693098115
10000,numba,0,85.70639838483184,23.33548063727709
10000,numba,1,84.68175049237907,23.617839597918913
10000,numba,2,85.9708879718557,23.26368899033287
10000,numba,3,85.80881738457829,23.307628061535823
10000,numba,4,84.64465764146298,23.628189371047853
10000,numba,5,86.88513127658516,23.018898292658548
10000,numba,6,84.96695227567106,23.538563481847614
10000,numba,7,83.9276754507795,23.830041631177146
10000,numba,8,83.84852263620124,23.852537136253712
10000,numba,9,79.94034800445661,25.01865515882545
