size,method,run,time_seconds,gflops
10,naive,0,0.0009322058409452439,0.0021454489042592004
10,naive,1,0.0009323421865701676,0.0021451351540333645
10,naive,2,0.000926401000469923,0.002158892314435635
10,naive,3,0.0009343840181827545,0.0021404475687519984
10,naive,4,0.0009281141683459282,0.0021549073036611125
10,naive,5,0.0009238181635737419,0.0021649282065023547
10,naive,6,0.0009321258403360844,0.0021456330395034284
10,naive,7,0.0009324563667178154,0.0021448724802425527
10,naive,8,0.0009289558045566082,0.0021529549524205863
10,naive,9,0.000927741639316082,0.0021557725936224782
50,naive,0,0.11346249300986529,0.002203371293615619
50,naive,1,0.09596198061481118,0.0026051984171053463
50,naive,2,0.0707534035667777,0.003533398923545038
50,naive,3,0.05741548696532846,0.004354225892936652
50,naive,4,0.056398412119597195,0.004432748912679592
50,naive,5,0.056559634208679196,0.00442011345189423
50,naive,6,0.05623921398073435,0.004445296836574592
50,naive,7,0.056510618422180414,0.0044239473391053
50,naive,8,0.05649882843717933,0.004424870513518229
50,naive,9,0.05735887698829174,0.004358523268351832
100,naive,0,0.44993282584473493,0.004445107991943157
100,naive,1,0.4462650021538138,0.004481642052025988
100,naive,2,0.44542650785297155,0.004490078530890149
100,naive,3,0.44528276436030867,0.004491527990923232
100,naive,4,0.44487984785810114,0.004495595854991211
100,naive,5,0.44514989322051407,0.004492868650446377
100,naive,6,0.4441998178139329,0.004502478208664559
100,naive,7,0.4451086557470262,0.004493284896119125
100,naive,8,0.44475661441683767,0.0044968414975062
100,naive,9,0.4461025448516011,0.004483274133003014
250,naive,0,6.958616395574063,0.004490835278673524
250,naive,1,6.95617951862514,0.004492408500431633
250,naive,2,6.963529351446778,0.00448766687448619
250,naive,3,6.777589959371835,0.004610783506722548
250,naive,4,6.435983298718929,0.004855512910703211
250,naive,5,6.434474476613104,0.00485665148157507
250,naive,6,6.434427217114717,0.004856687152646497
250,naive,7,6.433430179767311,0.0048574398301980595
250,naive,8,6.433598001487553,0.004857313122886213
250,naive,9,6.440238446369767,0.004852304811418123
500,naive,0,52.85029328437522,0.004730342718342314
500,naive,1,51.97599675701931,0.004809912567309019
500,naive,2,51.842534561827776,0.0048222950924949135
500,naive,3,52.07186450697482,0.0048010571998341545
500,naive,4,52.147192211821675,0.0047941219727516875
500,naive,5,52.377739920001474,0.004773019996315889
500,naive,6,52.63678122432903,0.004749530540907173
500,naive,7,52.12063661003485,0.004796564590538159
500,naive,8,52.11362298261374,0.004797210128403576
500,naive,9,52.916910834796724,0.004724387649545234
